VarA,VarB,rho.spear,p.spear,fdr.spear,rho.clr,p.clr,fdr.clr,sparcc,p.sparcc,fdr.sparcc,Weight.glasso
SBR1093,SBR1093,0.9999999999999998,0,0,0.9999999999999998,0,0,1,1,1,0
Cyanobacteria,SBR1093,0.6395624220667073,6.29926648785167e-30,3.3536939893069455e-29,0.5433554981592205,1.889293499702591e-20,9.786043537160533e-20,0.7201029679264955,0,0,0
Cyanobacteria,Cyanobacteria,0.9999999999999998,0,0,0.9999999999999998,0,0,1,1,1,0
Firmicutes,SBR1093,0.4967926860094374,7.318515360344421e-17,2.0046368160943415e-16,0.5004044135240684,4.030211974813028e-17,1.8354459355172586e-16,0.47174171675232596,0,0,0
Cyanobacteria,Firmicutes,0.6659822700812548,3.711123352355326e-33,2.158160964908174e-32,0.6371104348900166,1.2109940761432211e-29,8.802995399656492e-29,0.8292097497425184,0,0,0
Firmicutes,Firmicutes,0.9999999999999998,0,0,0.9999999999999998,0,0,1,1,1,0
Euryarchaeota,SBR1093,0.4735883119908876,2.8712950611045307e-15,7.187745252301408e-15,0.4453885058147096,1.7346689854160295e-13,7.127226918339773e-13,0.3547278437784952,0,0,0
Cyanobacteria,Euryarchaeota,0.41280731905241536,1.26577715042315e-11,2.558629747914175e-11,0.37679633515554245,8.717221009361297e-10,3.02303627664089e-9,0.5085543935321846,0,0,0
Euryarchaeota,Firmicutes,0.5845900415306169,3.965608146489006e-24,1.577894609866152e-23,0.5474373630194131,8.601698830216088e-21,4.5794959969319455e-20,0.23705231646246447,0,0,0
Euryarchaeota,Euryarchaeota,0.9999999999999998,0,0,0.9999999999999998,0,0,1,1,1,0
Actinobacteria,SBR1093,0.5789809138819546,1.3472123919983544e-23,5.196390654850795e-23,0.5056990911221676,1.659293318004015e-17,7.743368817352071e-17,0.5646463918133606,0,0,0
Actinobacteria,Cyanobacteria,0.5002736896970628,4.1186903745160277e-17,1.1447536482110724e-16,0.4869642865923612,3.582545137263213e-16,1.593178896335876e-15,0.6659796511125694,0,0,0
Actinobacteria,Firmicutes,0.7539529186489806,8.645970055469855e-47,7.600410885971174e-46,0.729115096137793,2.121173665549638e-42,2.1100095936256927e-41,0.4855266177090288,0,0,0
Actinobacteria,Euryarchaeota,0.7680497434430336,1.6025852420146169e-49,1.5532749268757055e-48,0.73641981432004755,1.2224795603047396e-43,1.3591096288093869e-42,0.4360439817655123,0,0,0
Actinobacteria,Actinobacteria,0.9999999999999998,0,0,0.9999999999999998,0,0,1,1,1,0
Bacteroidetes,SBR1093,0.3222888533143633,2.1155798612367485e-7,3.2507690550711015e-7,0.35542534002416487,8.50782474462714e-9,2.8459803128044768e-8,0.3765077024463559,0,0,0
Bacteroidetes,Cyanobacteria,0.6667003656408856,2.999851740876618e-33,1.7717874344552524e-32,0.6572302983937246,4.7362097910154384e-32,3.5805746020076712e-31,0.8550100418981625,0,0,0.03277790993347588
Bacteroidetes,Firmicutes,0.6114583177189385,8.045487682707894e-27,3.536272493097191e-26,0.582296968498366,6.556601882426754e-24,3.840117727723896e-23,0.6417877105270154,0,0,0
Bacteroidetes,Euryarchaeota,0.48674937952920055,3.7070472064873503e-16,9.730998917029294e-16,0.47134511645864385,4.03495226764359e-15,1.7137213001901988e-14,0.22751724988742364,0.020000000000000018,0.03150000000000003,0
Actinobacteria,Bacteroidetes,0.57580841625831225,2.662827217897178e-23,1.0045816974958264e-22,0.5666813722667977,1.8154906889848295e-22,1.0242619110989037e-21,0.3956257426167198,0,0,0
Bacteroidetes,Bacteroidetes,1,-0,-0,1,-0,-0,1,1,1,0
Proteobacteria,SBR1093,0.3833799334331451,4.1758233734728027e-10,7.814164530558017e-10,0.44065942709693695,3.3279043736855016e-13,1.3526321002721716e-12,0.3521236309013641,0,0,0
Cyanobacteria,Proteobacteria,0.5773215788269535,1.9257830250626794e-23,7.352989732057503e-23,0.5649004353469087,2.622216270537183e-22,1.4576437503868456e-21,0.8195378503770608,0,0,0
Firmicutes,Proteobacteria,0.7161242787160638,2.7143385295242553e-40,2.011803851294448e-39,0.6921791416470712,1.0555724155567241e-36,9.06832666091913e-36,0.5802768822317487,0,0,0
Euryarchaeota,Proteobacteria,0.6019199552956408,7.773963283188392e-26,3.265064578939125e-25,0.5899959108911135,1.1929378070411987e-24,7.273072436476986e-24,0.22271088441584658,0.06000000000000005,0.0872307692307693,0
Actinobacteria,Proteobacteria,0.7357883732765815,1.570352744766297e-43,1.2629645479184259e-42,0.7310671123592483,9.985584977149827e-43,1.0201489517196309e-41,0.49531074975476036,0,0,0
Bacteroidetes,Proteobacteria,0.8341390256953474,1.6395906107488313e-65,1.9992427447195425e-64,0.8305333737198297,1.8209402919157014e-64,2.458269394086197e-63,0.8861573580135526,0,0,0.07675330460554174
Proteobacteria,Proteobacteria,0.9999999999999998,0,0,0.9999999999999998,0,0,1,1,1,0
SBR1093,Verrucomicrobia,0.3234695403974504,1.89879864380449e-7,2.929575050441213e-7,0.28885551217085775,3.7480755123553713e-6,9.977271434298101e-6,0.36478448600946956,0,0,0
Cyanobacteria,Verrucomicrobia,0.28929293342782464,3.6179530738972457e-6,5.280255837579764e-6,0.2624045499385804,2.8511186651026292e-5,6.998200359797363e-5,0.6616482185274222,0,0,0
Firmicutes,Verrucomicrobia,0.6353887511318157,1.9095181791392694e-29,9.887642078282793e-29,0.609439044947788,1.3088160006044263e-26,8.679516635587249e-26,0.42025994739880423,0,0,0
Euryarchaeota,Verrucomicrobia,0.5854719078034598,3.2648954981809083e-24,1.3129047854387056e-23,0.5602912974747842,6.72159258390111e-22,3.682263763354521e-21,0.1499958031508959,0.24,0.31831578947368416,0
Actinobacteria,Verrucomicrobia,0.6981293433609724,1.4609901657861802e-37,9.861683619056716e-37,0.6847211480956688,1.1775197088393911e-35,9.891165554250885e-35,0.5189881697683317,0,0,0
Bacteroidetes,Verrucomicrobia,0.5977767633161534,2.033939161397386e-25,8.448670362727603e-25,0.5822644191145062,6.603377045027864e-24,3.840117727723896e-23,0.5534342930803878,0,0,0
Proteobacteria,Verrucomicrobia,0.7327617863510543,5.163851704643423e-43,3.9835427435820695e-42,0.7216548559370355,3.558466629273368e-41,3.4489753483726485e-40,0.5217488831899084,0,0,0
Verrucomicrobia,Verrucomicrobia,1,-0,-0,1,-0,-0,1,1,1,0
SBR1093,Unassigned.1,0.26732703434783495,1.9855819944233694e-5,2.7695571730333342e-5,0.327947135438205,1.2548718328867155e-7,3.7947324226494275e-7,0.2847151509870667,0,0,0
Cyanobacteria,Unassigned.1,0.3574666311588954,6.893212682563662e-9,1.1737091864905695e-8,0.34200392822269066,3.272167987566338e-8,1.0393945372269545e-7,0.8324412151583844,0,0,0
Firmicutes,Unassigned.1,0.6147699338706872,3.594795616517139e-27,1.5986267565217396e-26,0.5800851671751968,1.0609196459015208e-23,6.07617615379962e-23,0.4855957043485384,0,0,0
Euryarchaeota,Unassigned.1,0.7187218551582915,1.0516272403007274e-40,7.950301936673499e-40,0.6965928239517633,2.4459131567526737e-37,2.25501261768905e-36,0.24169113954397597,0.020000000000000018,0.03150000000000003,0
Actinobacteria,Unassigned.1,0.6846152862732452,1.2178977397903924e-35,7.802802468487598e-35,0.6729769572030718,4.553476681833692e-34,3.595775810908712e-33,0.2998287368422206,0.020000000000000018,0.03150000000000003,0
Bacteroidetes,Unassigned.1,0.6292625839852152,9.43279231641276e-29,4.630643500784446e-28,0.6137511211117032,4.6105590139489255e-27,3.112127334415525e-26,0.8510389586929494,0,0,0.018200540927619527
Proteobacteria,Unassigned.1,0.8303299369581789,2.0823393488438083e-64,2.4597633558217485e-63,0.8170591340620157,9.110125207037757e-61,1.187457699400094e-59,0.9340842647383898,0,0,0.11341632985240405
Unassigned.1,Verrucomicrobia,0.70183920305194325,4.153389568180705e-38,2.9622287863628426e-37,0.683495361044983,1.7383489256425114e-35,1.428469334549716e-34,0.32194711921154595,0,0,0
Unassigned.1,Unassigned.1,0.9999999999999998,0,0,0.9999999999999998,0,0,1,1,1,0
Chlamydiae,SBR1093,0.15567146709200194,0.01412333569548366,0.016226811224598247,0.15597646169481738,0.013933282298971396,0.02427087884336953,0.13855377222587484,0.020000000000000018,0.03150000000000003,0
Chlamydiae,Cyanobacteria,0.10712434412977764,0.09231311158951185,0.10180924560019707,0.14269646376185297,0.024617915816280606,0.040459009471974214,0.3692679303641314,0,0,0
Chlamydiae,Firmicutes,0.35130892711133144,1.294699622834043e-8,2.1464756904880185e-8,0.2758262465392439,1.0453556080738729e-5,2.6698947287292157e-5,0.17852039246009477,0,0,0
Chlamydiae,Euryarchaeota,0.34837544967734574,1.7399283333618425e-8,2.8595343913512023e-8,0.19883198306755798,0.0016502862497076623,0.0032832010652078755,-0.24227349140683385,0,0,0
Actinobacteria,Chlamydiae,0.4313330309432461,1.1681694561627696e-12,2.5524164995926408e-12,0.26896018084333656,1.7582177990217006e-5,4.4307088535346854e-5,-0.05668563830620432,0.42,0.5088461538461538,0
Bacteroidetes,Chlamydiae,0.21094081595574007,8.293480990065591e-4,0.0010312288862647347,0.21466226580401573,6.66052591651225e-4,0.001383339998044852,0.21387566868837504,0,0,0
Chlamydiae,Proteobacteria,0.37752589380965385,8.040965098374395e-10,1.4826755157002544e-9,0.28680418583701506,4.4200897500183464e-6,1.1514244654239198e-5,0.14236892895605685,0.06000000000000005,0.0872307692307693,0
Chlamydiae,Verrucomicrobia,0.4502905662845568,8.734829650670214e-14,2.050786091896485e-13,0.2942992674388641,2.404385665376146e-6,6.5385451907351306e-6,-0.02936197474407267,0.5,0.5962145110410094,0
Chlamydiae,Unassigned.1,0.4685344406387434,6.158286783908998e-15,1.521459087789282e-14,0.30688713882861185,8.312963154692358e-7,2.427608212166586e-6,0.033956040542648794,0.6399999999999999,0.7420858895705521,0
Chlamydiae,Chlamydiae,1,-0,-0,1,-0,-0,1,1,1,0
SBR1093,ZB3,0.4254695481316867,2.5229134803550564e-12,5.387916924148087e-12,0.33461728658508955,6.686965174270446e-8,2.0889858147720898e-7,0.35920538906306954,0,0,0
Cyanobacteria,ZB3,0.2577001604613256,4.002267448886457e-5,5.461577962740364e-5,0.23258919124122712,2.1978533193536004e-4,4.802245981015381e-4,0.4539571927174364,0,0,0
Firmicutes,ZB3,0.4897590182747443,2.2924616555002467e-16,6.102468350556995e-16,0.4025399898959843,4.4581622266349607e-11,1.6521424722235444e-10,0.25185750122075,0,0,0
Euryarchaeota,ZB3,0.5210924846079307,1.149827353663782e-18,3.477077917479277e-18,0.4333692827835143,8.909671080134601e-13,3.5451112297798728e-12,-0.08482328888045247,0.38,0.46788273615635184,0
Actinobacteria,ZB3,0.6189642505704233,1.2780761157317763e-27,5.7513425207929935e-27,0.4919947823904064,1.5992367163514898e-16,7.196565223581705e-16,0.2881055682080647,0,0,0
Bacteroidetes,ZB3,0.3795683678494356,6.407127898690469e-10,1.1930514018251219e-9,0.4306077813737727,1.2859300599683174e-12,5.06334961112525e-12,0.2561034165915524,0,0,0
Proteobacteria,ZB3,0.5081517153953153,1.0942478528211246e-17,3.1099675817021433e-17,0.5052263853404755,1.7972324936745314e-17,8.284803446450888e-17,0.1866924303322805,0,0,0
Verrucomicrobia,ZB3,0.5609090859840691,5.929891077074387e-22,2.0377262064855622e-21,0.4565872912544636,3.5599944614953475e-14,1.4951976738280461e-13,0.161126530049586,0,0,0
Unassigned.1,ZB3,0.5245781600284701,6.164091182498644e-19,1.894330460962998e-18,0.4834412965514286,6.253146549298269e-16,2.686010676857666e-15,0.048814464310552044,0.26,0.34006920415224917,0
Chlamydiae,ZB3,0.5269945704052241,3.98408365121169e-19,1.2344128034082122e-18,0.30033314087708424,1.4541747925907005e-6,4.071689419253961e-6,0.19738886439809938,0,0,0
ZB3,ZB3,0.9999999999999998,0,0,0.9999999999999998,0,0,1,1,1,0
SBR1093,TM7,0.07583438448030837,0.234077077032788,0.2506547737064982,-0.025700228444232122,0.6871325631172229,0.737886672892927,-0.07544025191721758,0.16,0.22072992700729926,0
Cyanobacteria,TM7,-0.09127918519178112,0.15180140448051785,0.16536291323814337,-0.07923564905666472,0.21369976661596088,0.2738254636638414,0.013045360777227231,0.6000000000000001,0.7021671826625387,0
Firmicutes,TM7,0.22443882138889204,3.678137733743661e-4,4.681266206582841e-4,0.020393877731445343,0.7492914253474188,0.7955959516329334,-0.11930927707333977,0,0,0
Euryarchaeota,TM7,0.42481377438967816,2.7472727540296966e-12,5.8340960731641874e-12,0.17522965238623112,0.005657139019154821,0.010586131431883776,-0.13167656447801823,0,0,0
Actinobacteria,TM7,0.36633049610298973,2.716398565570072e-9,4.82065097551872e-9,0.11150292323888453,0.07967967776804151,0.11628925944524977,-0.19110934191087453,0,0,0
Bacteroidetes,TM7,0.1436030119475496,0.02371144272454339,0.026915691741373576,0.05680049922486517,0.37309257730990686,0.44639494752640035,-0.010893300333091535,0.5800000000000001,0.6808695652173915,0
Proteobacteria,TM7,0.2827019573680723,6.123273388651008e-6,8.767414170113943e-6,0.0640721967504634,0.3149231599236959,0.38497694532621385,-0.11092513503164964,0.06,0.0872307692307693,0
TM7,Verrucomicrobia,0.4018072848216084,4.869313445791481e-11,9.390818788312141e-11,0.09904237992340284,0.11978694776824095,0.16405603716085174,-0.17085820052760542,0,0,0
TM7,Unassigned.1,0.47454340379516813,2.4821985548474783e-15,6.2551403582156456e-15,0.14317679141174652,0.024133979105914256,0.03983687380801568,-0.13202980900312644,0,0,0
Chlamydiae,TM7,0.33192996387671225,8.632768270661233e-8,1.3653499607991407e-7,0.09502082018758605,0.1356446634196334,0.18182157011567884,-0.0458157493484073,0.62,0.7233333333333334,0
TM7,ZB3,0.328675706955294,1.1723454461526863e-7,1.8387824840071178e-7,0.10285418485012583,0.10612577586179266,0.14968486296924485,-0.07526588939600753,0.02,0.03150000000000003,0
TM7,TM7,1,-0,-0,1,-0,-0,1,1,1,0
SBR1093,WPS-2,0.10902093225188214,0.08665735429929884,0.09606005843148081,0.04127351089236675,0.5176526915420717,0.5874010032885396,0.07516440784180847,0.17999999999999994,0.2465217391304347,0
Cyanobacteria,WPS-2,0.20518893696868387,0.0011555126723365261,0.0014227485020951365,0.13144909647280664,0.03858471019085115,0.05977467398418744,0.35772287245256007,0,0,0
Firmicutes,WPS-2,0.37631318212099424,9.195078260221881e-10,1.6872522244484813e-9,0.18656219376027366,0.00318724818067039,0.006173900528906922,0.1735072166550926,0,0,0
Euryarchaeota,WPS-2,0.41259112547667776,1.3003611773257044e-11,2.6064482245402507e-11,0.14652518416143873,0.02098269762983845,0.03509495444282714,-0.17288981061692926,0,0,0
Actinobacteria,WPS-2,0.46459780441456416,1.1061826788919049e-14,2.6803657219303847e-14,0.16043030038071965,0.011402857560704346,0.020236057079559826,-0.07923132948107084,0.24,0.31831578947368416,0
Bacteroidetes,WPS-2,0.3728651450896752,1.3423328792814434e-9,2.4277599443463424e-9,0.14828283784507623,0.01947595965544459,0.03286568191856274,0.27209554597765206,0,0,0
Proteobacteria,WPS-2,0.43099877523521185,1.2210750236591786e-12,2.6526802238113193e-12,0.17081477785085783,0.007012540463830974,0.012743943727538981,0.12866929069159008,0.040000000000000036,0.060480000000000055,0
Verrucomicrobia,WPS-2,0.3853249703822856,3.349189210357018e-10,6.298475231417676e-10,0.14025854455588277,0.027205017990715823,0.04357413898512958,-0.12029447421614797,0.1,0.14210526315789487,0
Unassigned.1,WPS-2,0.48506345344989604,4.842373488638078e-16,1.262356674969099e-15,0.17360925591324589,0.006124609536764828,0.011312707619872764,0.06583728764365276,0.24,0.31831578947368416,0
Chlamydiae,WPS-2,0.3331478775746483,7.691506257988204e-8,1.2215921703863616e-7,0.06511826629986894,0.3070710456697381,0.37808747642723456,0.1317994064790752,0,0,0
WPS-2,ZB3,0.3543987618589756,9.452326584441736e-9,1.5879908661862116e-8,0.12424306848443749,0.05066863770837703,0.07661098021506607,0.0020878383515736476,0.72,0.8124179104477612,0
TM7,WPS-2,0.4034455456307552,3.996469609483987e-11,7.8272824475904e-11,0.14985005609607668,0.018212613804034637,0.031010666747410327,0.17962389232364728,0,0,0
WPS-2,WPS-2,1,-0,-0,1,-0,-0,1,1,1,0
Lentisphaerae,SBR1093,-0.1887853378694066,0.0028370745306277134,0.0034262433628666953,-0.003686536085870931,0.9539377896087008,0.9632899832415477,-0.20082349639552216,0,0,0
Cyanobacteria,Lentisphaerae,0.07019531695314596,0.27080476422055466,0.28844963575506627,0.04233457494235394,0.5069367473345422,0.5771749713628221,0.2590392716612534,0,0,0
Firmicutes,Lentisphaerae,0.18196222280933008,0.004038892082434874,0.004816092136152625,0.1500639134000384,0.018045875215950104,0.030865795618231398,0.06312558889820798,0.19999999999999996,0.27,0
Euryarchaeota,Lentisphaerae,0.42667810939050826,2.155283718202329e-12,4.6289616220481844e-12,0.2782480787605854,8.672709431697032e-6,2.23012528243638e-5,-0.08522683513125134,0.42,0.5088461538461538,0
Actinobacteria,Lentisphaerae,0.17374537739666032,0.006084049666017722,0.007186783667983434,0.048794711521345104,0.44427535384637784,0.5135660053637028,-0.47209562383951975,0,0,0
Bacteroidetes,Lentisphaerae,0.4230925324055582,3.4327059983770465e-12,7.24895456640516e-12,0.3018796721247172,1.2759753929431632e-6,3.599393272630714e-6,0.4025321893509718,0,0,0
Lentisphaerae,Proteobacteria,0.3718054577877096,1.5065017900397982e-9,2.711703222071637e-9,0.2213353270991003,4.453559214057844e-4,9.404722809574665e-4,0.21888346975407508,0,0,0
Lentisphaerae,Verrucomicrobia,0.32609197031575643,1.49100474159646e-7,2.3193407091500489e-7,0.15932729591845862,0.01198849482663813,0.02117593946013651,-0.21361769422361093,0.02,0.03150000000000003,0
Lentisphaerae,Unassigned.1,0.5795728805548738,1.1853998474953064e-23,4.6193932201363485e-23,0.3557010726981886,8.270097018141166e-9,2.7911577436226434e-8,0.3190513896024657,0,0,0
Chlamydiae,Lentisphaerae,0.14680893481681187,0.02073282535327346,0.023605445733546285,0.06772440088970282,0.28807365414010394,0.3584847660339722,-0.027660152965260955,0.68,0.778909090909091,0
Lentisphaerae,ZB3,0.08535077192127871,0.18032312564077363,0.19419413530544852,0.14404398112243427,0.023281014266198097,0.038597471020275796,-0.26882647359249123,0,0,0
Lentisphaerae,TM7,0.26358028931866795,2.6167724681805848e-5,3.623223417480809e-5,0.06769195610731481,0.2883052086622422,0.3584847660339722,-0.024837438629665747,0.94,1,0
Lentisphaerae,WPS-2,0.2874686038810692,4.190773226909246e-6,6.092739537583441e-6,0.03379113244021964,0.5963850291725169,0.6689422582409834,0.09781771657821166,0.020000000000000018,0.03150000000000003,0
Lentisphaerae,Lentisphaerae,0.9999999999999998,0,0,0.9999999999999998,0,0,1,1,1,0
Parvarchaeota,SBR1093,-0.3039764920236808,1.0674358796470959e-6,1.5885463090811111e-06,-0.05422601015835513,0.39517852809984044,0.4653504162671018,-0.04819101079091784,0.34,0.4284000000000001,0
Cyanobacteria,Parvarchaeota,-0.4487899697968232,1.0788796731971987e-13,2.5019418188254054e-13,-0.11771714900848454,0.06418590745608335,0.09477450397812308,-0.030836928106912465,0.54,0.637875,0
Firmicutes,Parvarchaeota,-0.1662879759917065,0.008696289350489586,0.010177081654752519,-0.2738576349530737,1.2151542653062626e-5,3.08274035091119e-5,-0.13776349910688362,0,0,0
Euryarchaeota,Parvarchaeota,-0.0686706082160358,0.28137549697908054,0.29876387038790014,-0.2595558662864085,3.503800111215452e-5,8.489977192560518e-5,-0.3703726944470199,0,0,0
Actinobacteria,Parvarchaeota,-0.013975781507680474,0.8266581387492308,0.8332714038592246,-0.185315858283314,0.0034002629828350167,0.006524362474678357,-0.28156315260738995,0,0,0
Bacteroidetes,Parvarchaeota,-0.2847536716009551,5.2055375014019704e-6,7.481723100874315e-6,-0.2685040530756626,1.8191063077939637e-5,4.523830160171831e-5,-0.08536362428549522,0.02,0.03150000000000003,0
Parvarchaeota,Proteobacteria,-0.08934152212316486,0.16072118981386463,0.1745764647978185,-0.17777988696859562,0.004985972085716302,0.00942348724200381,-0.07178580020040137,0.2,0.27,0
Parvarchaeota,Verrucomicrobia,0.050665625889188555,0.42698445091177817,0.44709175192424416,-0.2121342727328725,7.733434305734337e-4,0.0015887163954171628,-0.29918917367202313,0,0,0
Parvarchaeota,Unassigned.1,0.15834875919057148,0.012530065617701435,0.01446839137626034,-0.08799762409389647,0.16713503589662243,0.22012907166872223,-0.05092534067302733,0.36,0.44763157894736855,0
Chlamydiae,Parvarchaeota,0.10710167149735104,0.09238246360017882,0.10180924560019707,-0.04660205590278595,0.4650361586260864,0.5342968631023121,0.07887662611561368,0.040000000000000036,0.060480000000000055,0
Parvarchaeota,ZB3,-0.03866009878676806,0.5445342439430025,0.563928614275219,-0.22282167769159925,4.064996479827099e-4,8.730503803265021e-4,-0.22811330038748792,0,0,0
Parvarchaeota,TM7,0.23633743824095152,1.723781409444083e-4,2.239453271796248e-4,-0.15420941538217944,0.015066309401911835,0.026124151164782908,-0.055326347731287376,0.26,0.34006920415224917,0
Parvarchaeota,WPS-2,0.03022476925211771,0.6357254711663539,0.6530006198393526,-0.13105493446759048,0.03917617751297457,0.06019875176420157,-0.003800601455070448,0.7,0.7969879518072288,0
Lentisphaerae,Parvarchaeota,0.14303607778212465,0.02427489371380089,0.02747278390364292,-0.15776172623423002,0.012865191127724548,0.022514084473517958,0.054856891178800826,0.1200000000000001,0.16862453531598529,0
Parvarchaeota,Parvarchaeota,1,-0,-0,1,-0,-0,1,1,1,0
GN02,SBR1093,0.004190912441930354,0.9476442077453364,0.9501578528587192,-0.13671556999841203,0.031378642979027,0.04983666826080758,-0.0036227214361725575,0.26,0.34006920415224917,0
Cyanobacteria,GN02,-0.13134348757353245,0.03874243913878614,0.04319953390696507,-0.1405154365679158,0.02692184193357057,0.04330406915272202,0.06563654142950978,0.3799999999999999,0.46788273615635184,0
Firmicutes,GN02,0.20324920993029552,0.0012897129567245537,0.0015828295377983159,0.014800307130531808,0.8166074015388578,0.8512926243838496,-0.053017750781552686,0.14,0.19527675276752768,0
Euryarchaeota,GN02,0.27713771481309835,9.450111421249044e-6,1.342910570388022e-5,0.05472944394298905,0.39079899717852085,0.46453465702352476,-0.3243249442752134,0,0,0
Actinobacteria,GN02,0.33562177634843277,6.074283631909215e-8,9.729149207041031e-8,0.06141223878740003,0.3354750736321972,0.40514242119159916,-0.24988522786592665,0,0,0
Bacteroidetes,GN02,0.046560178335345356,0.46543781831535647,0.48467078601433816,-0.08632325182683533,0.1753911629356122,0.22940435844173498,-0.010945039330687318,0.76,0.847433628318584,0
GN02,Proteobacteria,0.2819489351720518,6.497191890706253e-6,9.267692583724391e-6,0.06659703320657182,0.2961926906303681,0.3663514680381583,-0.032484019774387654,0.8,0.8868035190615835,0
GN02,Verrucomicrobia,0.3385957972737066,4.560963172684746e-8,7.399330812338344e-8,0.10517888620184261,0.09841686462279838,0.13995858183145793,-0.26578418253223196,0,0,0
